Step,DiscLoss,DiscAcc,GANLoss,GANAcc
364,0.000001,0.500000,15.037756,0.000000
365,0.000001,0.500000,16.118095,0.000000
366,0.000001,0.500000,15.034186,0.000000
367,0.000001,0.500000,16.118095,0.000000
368,0.000001,0.500000,14.979091,0.000000
369,0.000001,0.500000,16.118095,0.000000
370,0.000001,0.500000,14.982203,0.000000
371,0.000001,0.500000,16.118095,0.000000
372,0.000001,0.500000,15.015998,0.000000
373,0.000001,0.500000,16.118095,0.000000
374,0.000001,0.500000,15.115605,0.000000
375,0.000001,0.500000,16.118095,0.000000
376,0.000001,0.500000,15.181714,0.000000
377,0.000001,0.500000,16.118095,0.000000
378,0.000001,0.500000,15.192010,0.000000
379,0.000001,0.500000,16.118095,0.000000
380,0.000001,0.500000,15.208175,0.000000
381,0.000001,0.500000,16.118095,0.000000
382,0.000001,0.500000,15.175874,0.000000
383,0.000001,0.500000,16.118095,0.000000
384,0.000001,0.500000,15.153184,0.000000
385,0.000001,0.500000,16.118095,0.000000
386,0.000001,0.500000,15.186887,0.000000
387,0.000001,0.500000,16.118095,0.000000
388,0.000001,0.500000,15.233718,0.000000
389,0.000001,0.500000,16.118095,0.000000
390,0.000001,0.500000,15.268506,0.000000
391,0.000001,0.500000,16.118095,0.000000
392,0.000001,0.500000,15.318101,0.000000
393,0.000001,0.500000,16.118095,0.000000
394,0.000001,0.500000,15.306567,0.000000
395,0.000001,0.500000,16.118095,0.000000
396,0.000001,0.500000,15.297367,0.000000
397,0.000001,0.500000,16.118095,0.000000
398,0.000001,0.500000,15.311046,0.000000
399,0.000001,0.500000,16.118095,0.000000
400,0.000001,0.500000,15.327351,0.000000
401,0.000001,0.500000,16.118095,0.000000
402,0.000001,0.500000,15.373206,0.000000
403,0.000001,0.500000,16.118095,0.000000
404,0.000001,0.500000,15.396190,0.000000
405,0.000001,0.500000,16.118095,0.000000
406,0.000001,0.500000,15.414165,0.000000
407,0.000001,0.500000,16.118095,0.000000
408,0.000001,0.500000,15.423377,0.000000
409,0.000001,0.500000,16.118095,0.000000
410,0.000001,0.500000,15.447403,0.000000
411,0.000001,0.500000,16.118095,0.000000
412,0.000001,0.500000,15.448020,0.000000
413,0.000001,0.500000,16.118095,0.000000
414,0.000001,0.500000,15.443811,0.000000
415,0.000001,0.500000,16.118095,0.000000
416,0.000001,0.500000,15.453962,0.000000
417,0.000001,0.500000,16.118095,0.000000
418,0.000001,0.500000,15.479911,0.000000
419,0.000001,0.500000,16.118095,0.000000
420,0.000001,0.500000,15.510467,0.000000
421,0.000001,0.500000,16.118095,0.000000
422,0.000001,0.500000,15.506843,0.000000
423,0.000001,0.500000,16.118095,0.000000
424,0.000001,0.500000,15.549443,0.000000
425,0.000001,0.500000,16.118095,0.000000
426,0.000001,0.500000,15.543353,0.000000
427,0.000001,0.500000,16.118095,0.000000
428,0.000001,0.500000,15.540802,0.000000
429,0.000001,0.500000,16.118095,0.000000
430,0.000001,0.500000,15.584841,0.000000
431,0.000001,0.500000,16.118095,0.000000
432,0.000001,0.500000,15.612304,0.000000
433,0.000001,0.500000,16.118095,0.000000
434,0.000001,0.500000,15.629416,0.000000
435,0.000001,0.500000,16.118095,0.000000
436,0.000001,0.500000,15.606135,0.000000
437,0.000001,0.500000,16.118095,0.000000
438,0.000001,0.500000,15.644628,0.000000
439,0.000001,0.500000,16.118095,0.000000
440,0.000001,0.500000,15.655237,0.000000
441,0.000001,0.500000,16.118095,0.000000
442,0.000001,0.500000,15.680795,0.000000
443,0.000001,0.500000,16.118095,0.000000
444,0.000001,0.500000,15.689449,0.000000
445,0.000001,0.500000,16.118095,0.000000
446,0.000001,0.500000,15.696374,0.000000
447,0.000001,0.500000,16.118095,0.000000
448,0.000001,0.500000,15.693468,0.000000
449,0.000001,0.500000,16.118095,0.000000
450,0.000001,0.500000,15.730996,0.000000
451,0.000001,0.500000,16.118095,0.000000
452,0.000001,0.500000,15.767649,0.000000
453,0.000001,0.500000,16.118095,0.000000
454,0.000001,0.500000,15.750718,0.000000
455,0.000001,0.500000,16.118095,0.000000
456,0.000001,0.500000,15.739406,0.000000
457,0.000001,0.500000,16.118095,0.000000
458,0.000001,0.500000,15.775714,0.000000
459,0.000001,0.500000,16.118095,0.000000
460,0.000001,0.500000,15.789130,0.000000
461,0.000001,0.500000,16.118095,0.000000
462,0.000001,0.500000,15.809092,0.000000
463,0.000001,0.500000,16.118095,0.000000
464,0.000001,0.500000,15.850902,0.000000
465,0.000001,0.500000,16.118095,0.000000
466,0.000001,0.500000,15.860229,0.000000
467,0.000001,0.500000,16.118095,0.000000
468,0.000001,0.500000,15.852033,0.000000
469,0.000001,0.500000,16.118095,0.000000
470,0.000001,0.500000,15.842759,0.000000
471,0.000001,0.500000,16.118095,0.000000
472,0.000001,0.500000,15.844090,0.000000
473,0.000001,0.500000,16.118095,0.000000
474,0.000001,0.500000,15.824895,0.000000
475,0.000001,0.500000,16.118095,0.000000
476,0.000001,0.500000,15.868272,0.000000
477,0.000001,0.500000,16.118095,0.000000
478,0.000001,0.500000,15.888513,0.000000
479,0.000001,0.500000,16.118095,0.000000
480,0.000001,0.500000,15.917505,0.000000
481,0.000001,0.500000,16.118095,0.000000
482,0.000001,0.500000,15.933373,0.000000
483,0.000001,0.500000,16.118095,0.000000
